initial;name_vendor;address;city;tax_id;tax_city
MNC;PT. MNC TELEVISI NETWORK;INEWS CENTER LANTAI 7. MNC CENTER COMPLEX JL. KEBON SIRIH NO 17-19 RT016 RW006 JAKARTA PUSAT;DKI Jakarta;002.691.392.1-021.000;DKI Jakarta
NET;PT. NET MEDIATAMA TELEVISI;WISMA 46 KOTA BNI LT.43 JL. JEND SUDIRMAN KAV 1 KA;DKI Jakarta;002.355.700.2-022.000;DKI Jakarta
RCT;PT. RAJAWALI CITRA TELEVISI INDONESIA;JL. RAYA PEJUANGAN KEBON JERUK JAKARTA BARAT;DKI Jakarta;001.326.231.6-091.000;DKI Jakarta
SCT;PT. SURYA CITRA TELEVISI;SCTV TOWER SENAYAN CITY JL. ASIA AFRIKA LOT.19 GELORA TANAH ABANG JAKARTA PUSAT;DKI Jakarta;001.469.451.7-091.000;DKI Jakarta
TBS;TRANS BERITA BISNIS;GD. TRANSMEDIA LT. 3A JL. KAPTEN PIERRE TENDEAN KAV 12 -14A RT 002/002 MAMPANG PRAPATAN JAKARTA SELATAN;DKI Jakarta;086.199.246.9-014.000;DKI Jakarta
CMT;PT CIPTA MEGASWARA TELEVISI;JL. PALMERAH SELATAN 22 GELORA TANAH ABANG JAKARTA PUSAT;DKI Jakarta;002.816.394.7-092.000;DKI Jakarta
DVN;PT. DUTA VISUAL NUSANTARA TIVI TUJUH;JL. KAPTEN PIERE TENDEAN KAV. 12-14 A MAMPANG PRAPATAN JAKARTA SELATAN;DKI Jakarta;001.842.764.1-073.000;DKI Jakarta
GTV;PT. GLOBAL INFORMASI BERMUTU;JL. RAYA PEJUANGAN KOMPLEK RCTI KEBON JERUK JAKARTA BARAT;DKI Jakarta;001.938.450.2-038.000;DKI Jakarta
LAT;PT. LATIVI MEDIAKARYA;JL. RAWA TERATE II NO.2 KIP JATINEGARA CAKUNG JAKARTA TIMUR;DKI Jakarta;001.565.228.2-007.000;DKI Jakarta
TRI;PT KANTOR PUSAT TVRI LEMBAGA PENYIARAN PUBLIK TELEVISI REPUBLIK INDONESIA LEMBAGA PENYIARAN PUBLIK TELEVISI REPUBLIK INDONESIA;JL. GERBANG PEMUDA SENAYAN JAKARTA PUSAT DKI JAKARTA ;DKI Jakarta;00.140.823.6-077.000;DKI Jakarta
LED;PT. LIPUTAN ENAM DOT COM ;SCTV TOWER SENAYAN CITY LT. 14 JL. ASIA AFRIKA LOT.19  GELORA TANAH ABANG JAKARTA PUSAT;DKI Jakarta;75.905.514.8-077.000;DKI Jakarta